instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	m4.2xlarge	16	64000	17675	100	175000000	0.25	218
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	166
4	m4.2xlarge	32	128000	10100	100	100000000	0.75	120
4	m4.2xlarge	32	128000	12625	100	125000000	0.75	144
4	m4.2xlarge	32	128000	20200	100	200000000	0.75	216
8	m4.2xlarge	64	256000	17675	100	175000000	0.5	134
10	m4.2xlarge	80	320000	10100	100	100000000	0.5	86
10	m4.2xlarge	80	320000	12625	100	125000000	0.5	100
10	m4.2xlarge	80	320000	15150	100	150000000	0.5	124
10	m4.2xlarge	80	320000	20200	100	200000000	0.5	144
10	r4.2xlarge	80	610000	15150	100	150000000	0.5	104
12	m4.2xlarge	96	384000	17675	100	175000000	0.5	130
