instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	9730	5	100000000	1	216
2	r4.2xlarge	16	122000	9730	5	100000000	25	318
2	r4.2xlarge	16	122000	9730	5	100000000	50	410
2	r4.2xlarge	16	122000	9730	5	100000000	100	408
2	r4.2xlarge	16	122000	14540	5	150000000	1	298
2	r4.2xlarge	16	122000	14540	5	150000000	25	450
2	r4.2xlarge	16	122000	14540	5	150000000	50	590
2	r4.2xlarge	16	122000	14540	5	150000000	100	592
2	r4.2xlarge	16	122000	19353	5	200000000	1	378
2	r4.2xlarge	16	122000	19353	5	200000000	25	576
2	r4.2xlarge	16	122000	19353	5	200000000	50	768
2	r4.2xlarge	16	122000	19353	5	200000000	50	776
2	r4.2xlarge	16	122000	19353	5	200000000	100	772
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	19558	10	100000000	25	428
2	r4.2xlarge	16	122000	19558	10	100000000	50	478
2	r4.2xlarge	16	122000	19558	10	100000000	100	474
2	r4.2xlarge	16	122000	24268	5	250000000	1	544
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270
2	r4.2xlarge	16	122000	24268	5	250000000	100	3948
2	r4.2xlarge	16	122000	29081	5	300000000	1	816
2	r4.2xlarge	16	122000	29081	5	300000000	50	10902
2	r4.2xlarge	16	122000	29081	5	300000000	100	10915
2	r4.2xlarge	16	122000	29593	15	100000000	1	414
2	r4.2xlarge	16	122000	29593	15	100000000	25	538
2	r4.2xlarge	16	122000	29593	15	100000000	50	628
2	r4.2xlarge	16	122000	29593	15	100000000	100	630
2	m4.2xlarge	16	64000	19353	5	200000000	25	944
2	r4.xlarge	8	61000	19353	5	200000000	25	1997
4	r4.2xlarge	32	244000	9730	5	100000000	1	96
4	r4.2xlarge	32	244000	9730	5	100000000	25	140
4	r4.2xlarge	32	244000	9730	5	100000000	50	170
4	r4.2xlarge	32	244000	9730	5	100000000	100	174
4	r4.2xlarge	32	244000	14540	5	150000000	25	182
4	r4.2xlarge	32	244000	14540	5	150000000	50	236
4	r4.2xlarge	32	244000	14540	5	150000000	100	234
4	r4.2xlarge	32	244000	19353	5	200000000	1	154
4	r4.2xlarge	32	244000	19353	5	200000000	25	230
4	r4.2xlarge	32	244000	19353	5	200000000	50	300
4	r4.2xlarge	32	244000	19353	5	200000000	100	302
4	r4.2xlarge	32	244000	19558	10	100000000	1	128
4	r4.2xlarge	32	244000	19558	10	100000000	25	174
4	r4.2xlarge	32	244000	19558	10	100000000	50	192
4	r4.2xlarge	32	244000	19558	10	100000000	100	190
4	r4.2xlarge	32	244000	24268	5	250000000	1	184
4	r4.2xlarge	32	244000	24268	5	250000000	25	276
4	r4.2xlarge	32	244000	24268	5	250000000	50	368
4	r4.2xlarge	32	244000	24268	5	250000000	100	366
4	r4.2xlarge	32	244000	29081	5	300000000	1	210
4	r4.2xlarge	32	244000	29081	5	300000000	25	324
4	r4.2xlarge	32	244000	29081	5	300000000	50	434
4	r4.2xlarge	32	244000	29081	5	300000000	100	432
4	r4.2xlarge	32	244000	29593	15	100000000	1	164
4	r4.2xlarge	32	244000	29593	15	100000000	25	210
4	r4.2xlarge	32	244000	29593	15	100000000	50	244
4	r4.2xlarge	32	244000	29593	15	100000000	100	240
4	m4.2xlarge	32	128000	19353	5	200000000	25	262
6	r4.2xlarge	48	366000	9730	5	100000000	1	72
6	r4.2xlarge	48	366000	9730	5	100000000	25	98
6	r4.2xlarge	48	366000	9730	5	100000000	50	122
6	r4.2xlarge	48	366000	9730	5	100000000	100	120
6	r4.2xlarge	48	366000	14540	5	150000000	25	126
6	r4.2xlarge	48	366000	14540	5	150000000	50	158
6	r4.2xlarge	48	366000	14540	5	150000000	100	158
6	r4.2xlarge	48	366000	19353	5	200000000	1	104
6	r4.2xlarge	48	366000	19353	5	200000000	25	152
6	r4.2xlarge	48	366000	19353	5	200000000	50	196
6	r4.2xlarge	48	366000	19353	5	200000000	100	196
6	r4.2xlarge	48	366000	19558	10	100000000	25	120
6	r4.2xlarge	48	366000	19558	10	100000000	50	132
6	r4.2xlarge	48	366000	19558	10	100000000	100	132
6	r4.2xlarge	48	366000	24268	5	250000000	1	124
6	r4.2xlarge	48	366000	24268	5	250000000	25	182
6	r4.2xlarge	48	366000	24268	5	250000000	50	236
6	r4.2xlarge	48	366000	24268	5	250000000	100	234
6	r4.2xlarge	48	366000	29081	5	300000000	1	142
6	r4.2xlarge	48	366000	29081	5	300000000	25	210
6	r4.2xlarge	48	366000	29081	5	300000000	50	274
6	r4.2xlarge	48	366000	29081	5	300000000	100	274
6	r4.2xlarge	48	366000	29593	15	100000000	1	112
6	r4.2xlarge	48	366000	29593	15	100000000	25	144
6	r4.2xlarge	48	366000	29593	15	100000000	50	164
6	r4.2xlarge	48	366000	29593	15	100000000	100	164
6	m4.2xlarge	48	192000	19353	5	200000000	25	168
6	r4.xlarge	24	183000	19353	5	200000000	25	310
6	r4.xlarge	24	183000	19353	5	200000000	25	318
8	r4.2xlarge	64	488000	9730	5	100000000	1	64
8	r4.2xlarge	64	488000	9730	5	100000000	25	84
8	r4.2xlarge	64	488000	9730	5	100000000	50	102
8	r4.2xlarge	64	488000	9730	5	100000000	100	102
8	r4.2xlarge	64	488000	14540	5	150000000	1	76
8	r4.2xlarge	64	488000	14540	5	150000000	25	106
8	r4.2xlarge	64	488000	14540	5	150000000	50	128
8	r4.2xlarge	64	488000	14540	5	150000000	100	130
8	r4.2xlarge	64	488000	19353	5	200000000	1	88
8	r4.2xlarge	64	488000	19353	5	200000000	50	156
8	r4.2xlarge	64	488000	19353	5	200000000	100	156
8	r4.2xlarge	64	488000	19558	10	100000000	1	78
8	r4.2xlarge	64	488000	19558	10	100000000	25	102
8	r4.2xlarge	64	488000	19558	10	100000000	50	110
8	r4.2xlarge	64	488000	19558	10	100000000	100	110
8	r4.2xlarge	64	488000	24268	5	250000000	1	100
8	r4.2xlarge	64	488000	24268	5	250000000	25	142
8	r4.2xlarge	64	488000	24268	5	250000000	50	180
8	r4.2xlarge	64	488000	24268	5	250000000	100	180
8	r4.2xlarge	64	488000	29081	5	300000000	1	112
8	r4.2xlarge	64	488000	29081	5	300000000	25	164
8	r4.2xlarge	64	488000	29081	5	300000000	50	212
8	r4.2xlarge	64	488000	29081	5	300000000	100	210
8	r4.2xlarge	64	488000	29593	15	100000000	1	92
8	r4.2xlarge	64	488000	29593	15	100000000	25	118
8	r4.2xlarge	64	488000	29593	15	100000000	50	134
8	r4.2xlarge	64	488000	29593	15	100000000	100	132
8	r4.xlarge	32	244000	19353	5	200000000	25	222
10	r4.2xlarge	80	610000	9730	5	100000000	1	60
10	r4.2xlarge	80	610000	9730	5	100000000	25	80
10	r4.2xlarge	80	610000	9730	5	100000000	50	98
10	r4.2xlarge	80	610000	9730	5	100000000	100	98
10	r4.2xlarge	80	610000	14540	5	150000000	1	68
10	r4.2xlarge	80	610000	14540	5	150000000	25	96
10	r4.2xlarge	80	610000	14540	5	150000000	50	116
10	r4.2xlarge	80	610000	14540	5	150000000	100	116
10	r4.2xlarge	80	610000	19353	5	200000000	1	80
10	r4.2xlarge	80	610000	19353	5	200000000	25	110
10	r4.2xlarge	80	610000	19353	5	200000000	50	136
10	r4.2xlarge	80	610000	19353	5	200000000	100	138
10	r4.2xlarge	80	610000	19558	10	100000000	1	68
10	r4.2xlarge	80	610000	19558	10	100000000	25	90
10	r4.2xlarge	80	610000	19558	10	100000000	50	98
10	r4.2xlarge	80	610000	19558	10	100000000	100	98
10	r4.2xlarge	80	610000	24268	5	250000000	1	88
10	r4.2xlarge	80	610000	24268	5	250000000	25	126
10	r4.2xlarge	80	610000	24268	5	250000000	50	158
10	r4.2xlarge	80	610000	24268	5	250000000	100	158
10	r4.2xlarge	80	610000	29081	5	300000000	1	98
10	r4.2xlarge	80	610000	29081	5	300000000	25	142
10	r4.2xlarge	80	610000	29081	5	300000000	100	176
10	r4.2xlarge	80	610000	29593	15	100000000	1	80
10	r4.2xlarge	80	610000	29593	15	100000000	25	102
10	r4.2xlarge	80	610000	29593	15	100000000	50	116
10	r4.2xlarge	80	610000	29593	15	100000000	100	116
10	m4.2xlarge	80	320000	19353	5	200000000	25	118
10	r4.xlarge	40	305000	19353	5	200000000	25	180
12	r4.2xlarge	96	732000	9730	5	100000000	1	58
12	r4.2xlarge	96	732000	9730	5	100000000	25	72
12	r4.2xlarge	96	732000	9730	5	100000000	50	84
12	r4.2xlarge	96	732000	9730	5	100000000	100	84
12	r4.2xlarge	96	732000	14540	5	150000000	25	84
12	r4.2xlarge	96	732000	14540	5	150000000	50	102
12	r4.2xlarge	96	732000	14540	5	150000000	100	104
12	r4.2xlarge	96	732000	19353	5	200000000	25	100
12	r4.2xlarge	96	732000	19353	5	200000000	50	120
12	r4.2xlarge	96	732000	19353	5	200000000	100	122
12	r4.2xlarge	96	732000	19558	10	100000000	1	64
12	r4.2xlarge	96	732000	19558	10	100000000	25	84
12	r4.2xlarge	96	732000	19558	10	100000000	50	88
12	r4.2xlarge	96	732000	19558	10	100000000	100	88
12	r4.2xlarge	96	732000	24268	5	250000000	1	78
12	r4.2xlarge	96	732000	24268	5	250000000	25	112
12	r4.2xlarge	96	732000	24268	5	250000000	50	138
12	r4.2xlarge	96	732000	24268	5	250000000	100	140
12	r4.2xlarge	96	732000	29081	5	300000000	1	86
12	r4.2xlarge	96	732000	29081	5	300000000	25	124
12	r4.2xlarge	96	732000	29081	5	300000000	50	156
12	r4.2xlarge	96	732000	29081	5	300000000	100	158
12	r4.2xlarge	96	732000	29593	15	100000000	1	72
12	r4.2xlarge	96	732000	29593	15	100000000	25	96
12	r4.2xlarge	96	732000	29593	15	100000000	50	106
12	r4.2xlarge	96	732000	29593	15	100000000	100	106
12	m4.2xlarge	96	384000	19353	5	200000000	25	102
12	r4.xlarge	48	366000	19353	5	200000000	25	154
8	r4.2xlarge	64	488000	19353	5	200000000	25	124
2	r4.2xlarge	16	122000	29081	5	300000000	100	10892
2	r4.2xlarge	16	122000	29081	5	300000000	100	10749
2	r4.2xlarge	16	122000	29081	5	300000000	50	10914
2	r4.2xlarge	16	122000	29081	5	300000000	50	10746
2	r4.2xlarge	16	122000	29081	5	300000000	25	5872
2	r4.2xlarge	16	122000	29081	5	300000000	25	5852
2	r4.2xlarge	16	122000	29081	5	300000000	25	5830
2	r4.2xlarge	16	122000	29081	5	300000000	25	5822
2	r4.2xlarge	16	122000	29081	5	300000000	25	5792
2	r4.2xlarge	16	122000	29081	5	300000000	1	824
2	r4.2xlarge	16	122000	29081	5	300000000	1	808
2	r4.2xlarge	16	122000	24268	5	250000000	100	4056
2	r4.2xlarge	16	122000	24268	5	250000000	100	3978
2	r4.2xlarge	16	122000	19353	5	200000000	100	782
2	r4.2xlarge	16	122000	24268	5	250000000	50	4022
2	r4.2xlarge	16	122000	24268	5	250000000	50	3978
2	r4.2xlarge	16	122000	24268	5	250000000	50	3944
2	r4.2xlarge	16	122000	24268	5	250000000	50	3938
2	r4.2xlarge	16	122000	24268	5	250000000	25	2262
2	r4.2xlarge	16	122000	29081	5	300000000	100	10901
2	r4.2xlarge	16	122000	24268	5	250000000	1	552
2	r4.xlarge	8	61000	19353	5	200000000	25	2022
4	r4.2xlarge	32	244000	14540	5	150000000	1	126
8	m4.2xlarge	64	256000	19353	5	200000000	25	138
10	r4.2xlarge	80	610000	19353	5	200000000	50	144
10	r4.2xlarge	80	610000	29081	5	300000000	50	172
10	r4.2xlarge	80	610000	29081	5	300000000	50	178
12	r4.2xlarge	96	732000	14540	5	150000000	1	64
12	r4.2xlarge	96	732000	19353	5	200000000	1	72
6	r4.2xlarge	48	366000	19558	10	100000000	1	92
6	r4.2xlarge	48	366000	14540	5	150000000	1	90
4	r4.xlarge	16	122000	19353	5	200000000	25	696
4	r4.xlarge	16	122000	19353	5	200000000	25	674
4	r4.xlarge	16	122000	19353	5	200000000	25	664
4	r4.xlarge	16	122000	19353	5	200000000	25	644
4	m4.2xlarge	32	128000	19353	5	200000000	25	360
4	m4.2xlarge	32	128000	19353	5	200000000	25	280
4	r4.2xlarge	32	244000	29593	15	100000000	100	248
4	r4.2xlarge	32	244000	29593	15	100000000	25	218
4	r4.2xlarge	32	244000	19558	10	100000000	100	198
4	r4.2xlarge	32	244000	19353	5	200000000	50	312
8	m4.2xlarge	64	256000	19353	5	200000000	25	132
4	r4.2xlarge	32	244000	9730	5	100000000	50	178
2	r4.2xlarge	16	122000	19558	10	100000000	100	488
