instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	c4.2xlarge	16	30000	9530	1000	10000000	348
2	c4.2xlarge	16	30000	11556	100	120000000	434
2	c4.2xlarge	16	30000	13482	100	140000000	494
2	c4.2xlarge	16	30000	17334	100	180000000	666
2	c4.2xlarge	16	30000	19260	100	200000000	734
2	m4.2xlarge	16	64000	9530	1000	10000000	378
2	m4.2xlarge	16	64000	9630	100	100000000	382
2	m4.2xlarge	16	64000	11556	100	120000000	454
2	m4.2xlarge	16	64000	13482	100	140000000	538
2	m4.2xlarge	16	64000	15408	100	160000000	634
2	m4.2xlarge	16	64000	17334	100	180000000	732
2	m4.2xlarge	16	64000	19260	100	200000000	842
2	r4.2xlarge	16	122000	9530	1000	10000000	194
2	r4.2xlarge	16	122000	9630	100	100000000	222
2	r4.2xlarge	16	122000	11556	100	120000000	256
2	r4.2xlarge	16	122000	13482	100	140000000	288
2	r4.2xlarge	16	122000	15408	100	160000000	322
2	r4.2xlarge	16	122000	17334	100	180000000	364
2	r4.2xlarge	16	122000	19260	100	200000000	404
4	c4.2xlarge	32	60000	9630	100	100000000	190
4	c4.2xlarge	32	60000	11556	100	120000000	222
4	c4.2xlarge	32	60000	13482	100	140000000	260
4	c4.2xlarge	32	60000	15408	100	160000000	302
4	c4.2xlarge	32	60000	17334	100	180000000	330
4	c4.2xlarge	32	60000	17334	100	180000000	340
4	c4.2xlarge	32	60000	19260	100	200000000	380
4	m4.2xlarge	32	128000	9530	1000	10000000	180
4	m4.2xlarge	32	128000	9630	100	100000000	182
4	m4.2xlarge	32	128000	11556	100	120000000	226
4	m4.2xlarge	32	128000	13482	100	140000000	258
4	m4.2xlarge	32	128000	15408	100	160000000	298
4	m4.2xlarge	32	128000	17334	100	180000000	326
4	m4.2xlarge	32	128000	19260	100	200000000	362
4	r4.2xlarge	32	244000	9530	1000	10000000	92
4	r4.2xlarge	32	244000	9630	100	100000000	118
4	r4.2xlarge	32	244000	11556	100	120000000	132
4	r4.2xlarge	32	244000	13482	100	140000000	150
4	r4.2xlarge	32	244000	15408	100	160000000	166
4	r4.2xlarge	32	244000	17334	100	180000000	180
4	r4.2xlarge	32	244000	19260	100	200000000	208
6	c4.2xlarge	48	90000	9530	1000	10000000	152
6	c4.2xlarge	48	90000	9630	100	100000000	158
6	c4.2xlarge	48	90000	11556	100	120000000	186
6	c4.2xlarge	48	90000	15408	100	160000000	234
6	c4.2xlarge	48	90000	17334	100	180000000	264
6	c4.2xlarge	48	90000	19260	100	200000000	294
6	m4.2xlarge	48	192000	9530	1000	10000000	166
6	m4.2xlarge	48	192000	9630	100	100000000	168
6	m4.2xlarge	48	192000	11556	100	120000000	196
6	m4.2xlarge	48	192000	13482	100	140000000	222
6	m4.2xlarge	48	192000	15408	100	160000000	246
6	m4.2xlarge	48	192000	17334	100	180000000	272
6	m4.2xlarge	48	192000	19260	100	200000000	302
6	r4.2xlarge	48	366000	9530	1000	10000000	112
6	r4.2xlarge	48	366000	9630	100	100000000	106
