instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	152
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	178
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	218
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	218
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	248
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	286
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	328
4	m4.2xlarge	32	128000	15150	100	150000000	0.75	172
4	m4.2xlarge	32	128000	20200	100	200000000	0.75	210
6	c4.2xlarge	48	90000	15150	100	150000000	0.5	100
6	m4.2xlarge	48	192000	10100	100	100000000	0.5	92
6	m4.2xlarge	48	192000	12625	100	125000000	0.5	110
6	m4.2xlarge	48	192000	12625	100	125000000	1.0	162
6	m4.2xlarge	48	192000	15150	100	150000000	0.5	122
6	m4.2xlarge	48	192000	15150	100	150000000	1.0	184
6	m4.2xlarge	48	192000	20200	100	200000000	1.0	238
8	c4.2xlarge	64	120000	15150	100	150000000	0.5	100
8	m4.2xlarge	64	256000	10100	100	100000000	0.75	110
8	m4.2xlarge	64	256000	10100	100	100000000	1.0	130
8	m4.2xlarge	64	256000	12625	100	125000000	0.5	100
8	m4.2xlarge	64	256000	15150	100	150000000	0.25	90
8	m4.2xlarge	64	256000	15150	100	150000000	0.75	146
8	m4.2xlarge	64	256000	17675	100	175000000	0.5	130
8	m4.2xlarge	64	256000	17675	100	175000000	0.75	174
8	m4.2xlarge	64	256000	20200	100	200000000	0.25	104
10	c4.2xlarge	80	150000	15150	100	150000000	0.5	94
10	m4.2xlarge	80	320000	12625	100	125000000	0.75	126
10	m4.2xlarge	80	320000	17675	100	175000000	0.75	164
10	m4.2xlarge	80	320000	20200	100	200000000	0.5	140
12	c4.2xlarge	96	180000	15150	100	150000000	0.5	94
12	m4.2xlarge	96	384000	10100	100	100000000	0.75	106
12	m4.2xlarge	96	384000	15150	100	150000000	1.0	170
12	m4.2xlarge	96	384000	17675	100	175000000	0.0	48
12	m4.2xlarge	96	384000	17675	100	175000000	1.0	198
12	m4.2xlarge	96	384000	20200	100	200000000	0.25	92
12	m4.2xlarge	96	384000	20200	100	200000000	0.5	136
12	m4.2xlarge	96	384000	20200	100	200000000	0.75	174
12	r4.2xlarge	96	732000	15150	100	150000000	0.5	102
