instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
2	m4.2xlarge	16	64000	8000	5	150000000	3	1126
2	m4.2xlarge	16	64000	8000	5	150000000	3	1151
2	r4.2xlarge	16	122000	10500	5	100000000	3	610
2	r4.2xlarge	16	122000	10500	5	100000000	5	774
2	r4.2xlarge	16	122000	13200	5	125000000	3	798
2	r4.2xlarge	16	122000	13200	5	125000000	5	960
2	r4.2xlarge	16	122000	13200	5	125000000	5	972
2	r4.2xlarge	16	122000	13200	5	125000000	9	2714
2	r4.2xlarge	16	122000	16000	5	150000000	3	930
2	r4.2xlarge	16	122000	16000	5	150000000	5	1140
2	r4.2xlarge	16	122000	16000	5	150000000	7	856
2	r4.2xlarge	16	122000	16000	5	150000000	7	1162
2	r4.2xlarge	16	122000	16000	5	150000000	9	1126
2	r4.2xlarge	16	122000	18600	5	175000000	3	1750
2	r4.2xlarge	16	122000	18600	5	175000000	5	2686
2	r4.2xlarge	16	122000	18600	5	175000000	7	848
2	r4.2xlarge	16	122000	18600	5	175000000	9	806
2	r4.2xlarge	16	122000	20300	10	100000000	3	1050
2	r4.2xlarge	16	122000	20300	10	100000000	5	1082
2	r4.2xlarge	16	122000	20300	10	100000000	7	1260
2	r4.2xlarge	16	122000	21300	5	200000000	3	3116
2	r4.2xlarge	16	122000	21300	5	200000000	7	4254
2	r4.2xlarge	16	122000	30500	15	100000000	3	1712
2	r4.2xlarge	16	122000	30500	15	100000000	3	1722
2	r4.2xlarge	16	122000	30500	15	100000000	5	2670
2	r4.2xlarge	16	122000	30500	15	100000000	7	1046
2	r4.2xlarge	16	122000	30500	15	100000000	9	1004
4	r4.2xlarge	32	244000	10500	5	100000000	3	248
4	r4.2xlarge	32	244000	10500	5	100000000	7	298
4	r4.2xlarge	32	244000	10500	5	100000000	9	322
4	r4.2xlarge	32	244000	13200	5	125000000	3	306
4	r4.2xlarge	32	244000	13200	5	125000000	3	314
4	r4.2xlarge	32	244000	13200	5	125000000	5	354
4	r4.2xlarge	32	244000	13200	5	125000000	7	376
6	r4.2xlarge	48	366000	21300	5	200000000	5	358
4	r4.2xlarge	32	244000	16000	5	150000000	5	420
4	r4.2xlarge	32	244000	16000	5	150000000	7	436
4	r4.2xlarge	32	244000	16000	5	150000000	7	446
4	r4.2xlarge	32	244000	16000	5	150000000	9	460
4	r4.2xlarge	32	244000	18600	5	175000000	3	388
4	r4.2xlarge	32	244000	18600	5	175000000	5	478
4	r4.2xlarge	32	244000	18600	5	175000000	7	492
4	r4.2xlarge	32	244000	18600	5	175000000	9	508
4	r4.2xlarge	32	244000	20300	10	100000000	3	382
4	r4.2xlarge	32	244000	20300	10	100000000	5	392
4	r4.2xlarge	32	244000	20300	10	100000000	7	406
4	r4.2xlarge	32	244000	21300	5	200000000	3	484
4	r4.2xlarge	32	244000	21300	5	200000000	5	554
4	r4.2xlarge	32	244000	21300	5	200000000	5	564
4	r4.2xlarge	32	244000	21300	5	200000000	7	576
4	r4.2xlarge	32	244000	21300	5	200000000	9	606
4	r4.2xlarge	32	244000	30500	15	100000000	3	432
4	r4.2xlarge	32	244000	30500	15	100000000	5	500
4	r4.2xlarge	32	244000	30500	15	100000000	7	512
4	r4.2xlarge	32	244000	30500	15	100000000	9	528
4	r4.xlarge	16	122000	16000	5	150000000	3	1080
4	r4.xlarge	16	122000	16000	5	150000000	3	1118
6	m4.2xlarge	48	192000	16000	5	150000000	3	240
6	r4.2xlarge	48	366000	10500	5	100000000	3	166
6	r4.2xlarge	48	366000	10500	5	100000000	7	210
6	r4.2xlarge	48	366000	10500	5	100000000	9	226
6	r4.2xlarge	48	366000	13200	5	125000000	3	202
6	r4.2xlarge	48	366000	13200	5	125000000	7	250
6	r4.2xlarge	48	366000	16000	5	150000000	3	228
6	r4.2xlarge	48	366000	16000	5	150000000	5	270
6	r4.2xlarge	48	366000	16000	5	150000000	5	288
6	r4.2xlarge	48	366000	16000	5	150000000	9	296
6	r4.2xlarge	48	366000	18600	5	175000000	3	242
6	r4.2xlarge	48	366000	18600	5	175000000	5	306
6	r4.2xlarge	48	366000	18600	5	175000000	9	324
6	r4.2xlarge	48	366000	20300	10	100000000	5	258
6	r4.2xlarge	48	366000	21300	5	200000000	3	306
6	r4.2xlarge	48	366000	21300	5	200000000	5	346
6	r4.2xlarge	48	366000	21300	5	200000000	5	360
6	r4.2xlarge	48	366000	21300	5	200000000	7	370
6	r4.2xlarge	48	366000	21300	5	200000000	9	380
6	r4.2xlarge	48	366000	21300	5	200000000	9	392
6	r4.2xlarge	48	366000	30500	15	100000000	3	264
6	r4.2xlarge	48	366000	30500	15	100000000	5	312
6	r4.2xlarge	48	366000	30500	15	100000000	7	322
6	r4.2xlarge	48	366000	30500	15	100000000	9	332
6	r4.xlarge	24	183000	16000	5	150000000	3	484
8	m4.2xlarge	64	256000	16000	5	150000000	3	196
8	r4.2xlarge	64	488000	10500	5	100000000	3	140
8	r4.2xlarge	64	488000	10500	5	100000000	5	176
8	r4.2xlarge	64	488000	10500	5	100000000	9	184
8	r4.2xlarge	64	488000	13200	5	125000000	3	152
8	r4.2xlarge	64	488000	13200	5	125000000	7	182
8	r4.2xlarge	64	488000	16000	5	150000000	3	182
8	r4.2xlarge	64	488000	16000	5	150000000	7	228
8	r4.2xlarge	64	488000	18600	5	175000000	5	240
8	r4.2xlarge	64	488000	18600	5	175000000	9	250
8	r4.2xlarge	64	488000	20300	10	100000000	3	190
8	r4.2xlarge	64	488000	20300	10	100000000	9	202
8	r4.2xlarge	64	488000	21300	5	200000000	3	234
8	r4.2xlarge	64	488000	21300	5	200000000	5	265
8	r4.2xlarge	64	488000	21300	5	200000000	7	278
8	r4.2xlarge	64	488000	21300	5	200000000	9	286
8	r4.2xlarge	64	488000	30500	15	100000000	3	204
8	r4.2xlarge	64	488000	30500	15	100000000	7	252
10	m4.2xlarge	80	320000	16000	5	150000000	3	152
10	r4.2xlarge	80	610000	10500	5	100000000	3	122
10	r4.2xlarge	80	610000	10500	5	100000000	7	156
10	r4.2xlarge	80	610000	13200	5	125000000	3	142
10	r4.2xlarge	80	610000	13200	5	125000000	7	178
10	r4.2xlarge	80	610000	16000	5	150000000	3	148
10	r4.2xlarge	80	610000	16000	5	150000000	7	180
10	r4.2xlarge	80	610000	16000	5	150000000	9	192
10	r4.2xlarge	80	610000	18600	5	175000000	3	164
10	r4.2xlarge	80	610000	18600	5	175000000	7	204
10	r4.2xlarge	80	610000	20300	10	100000000	5	182
10	r4.2xlarge	80	610000	20300	10	100000000	9	192
10	r4.2xlarge	80	610000	21300	5	200000000	3	204
10	r4.2xlarge	80	610000	21300	5	200000000	5	226
10	r4.2xlarge	80	610000	21300	5	200000000	7	226
10	r4.2xlarge	80	610000	21300	5	200000000	9	244
10	r4.2xlarge	80	610000	30500	15	100000000	3	174
10	r4.2xlarge	80	610000	30500	15	100000000	7	210
10	r4.xlarge	40	305000	16000	5	150000000	3	248
