instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	216
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	406
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	308
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	240
2	r4.2xlarge	16	122000	436	3000000	30000000	0.001	618
4	r4.2xlarge	32	244000	131	1000000	10000000	0.0005	188
4	r4.2xlarge	32	244000	142	2000000	10000000	0.005	192
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	174
4	r4.2xlarge	32	244000	263	1000000	20000000	0.0005	244
4	r4.2xlarge	32	244000	284	2000000	20000000	0.01	218
4	r4.2xlarge	32	244000	291	3000000	20000000	0.001	426
4	r4.2xlarge	32	244000	394	1000000	30000000	0.001	266
4	r4.2xlarge	32	244000	394	1000000	30000000	0.005	240
4	r4.2xlarge	32	244000	436	3000000	30000000	0.01	332
6	r4.2xlarge	48	366000	131	1000000	10000000	0.01	120
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	292
6	r4.2xlarge	48	366000	145	3000000	10000000	0.0005	298
6	r4.2xlarge	48	366000	263	1000000	20000000	0.005	172
6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	148
6	r4.2xlarge	48	366000	436	3000000	30000000	0.0001	690
8	r4.2xlarge	64	488000	145	3000000	10000000	0.0005	320
8	r4.2xlarge	64	488000	284	2000000	20000000	0.005	236
8	r4.2xlarge	64	488000	394	1000000	30000000	0.0001	346
10	r4.2xlarge	80	610000	131	1000000	10000000	0.0001	232
10	r4.2xlarge	80	610000	263	1000000	20000000	0.01	144
10	r4.2xlarge	80	610000	436	3000000	30000000	0.0005	546
12	r4.2xlarge	96	732000	131	1000000	10000000	0.0005	190
12	r4.2xlarge	96	732000	263	1000000	20000000	0.0005	234
12	r4.2xlarge	96	732000	426	2000000	30000000	0.0005	436
12	r4.2xlarge	96	732000	436	3000000	30000000	0.0005	542
12	r4.2xlarge	96	732000	436	3000000	30000000	0.005	370
