instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	9730	5	100000000	1	216
2	r4.2xlarge	16	122000	9730	5	100000000	25	318
2	r4.2xlarge	16	122000	14540	5	150000000	25	450
2	r4.2xlarge	16	122000	14540	5	150000000	50	590
2	r4.2xlarge	16	122000	14540	5	150000000	100	592
2	r4.2xlarge	16	122000	19353	5	200000000	1	378
2	r4.2xlarge	16	122000	19353	5	200000000	25	576
2	r4.2xlarge	16	122000	19353	5	200000000	100	772
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	19558	10	100000000	25	428
2	r4.2xlarge	16	122000	19558	10	100000000	50	478
2	r4.2xlarge	16	122000	24268	5	250000000	1	544
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270
2	r4.2xlarge	16	122000	24268	5	250000000	100	3948
2	r4.2xlarge	16	122000	29081	5	300000000	1	816
2	r4.2xlarge	16	122000	29593	15	100000000	1	414
2	r4.2xlarge	16	122000	29593	15	100000000	25	538
2	r4.2xlarge	16	122000	29593	15	100000000	50	628
2	r4.2xlarge	16	122000	29593	15	100000000	100	630
2	m4.2xlarge	16	64000	19353	5	200000000	25	944
2	r4.xlarge	8	61000	19353	5	200000000	25	1997
4	r4.2xlarge	32	244000	9730	5	100000000	1	96
4	r4.2xlarge	32	244000	9730	5	100000000	25	140
4	r4.2xlarge	32	244000	9730	5	100000000	100	174
4	r4.2xlarge	32	244000	14540	5	150000000	50	236
4	r4.2xlarge	32	244000	14540	5	150000000	100	234
4	r4.2xlarge	32	244000	19353	5	200000000	1	154
4	r4.2xlarge	32	244000	19353	5	200000000	25	230
4	r4.2xlarge	32	244000	19353	5	200000000	100	302
4	r4.2xlarge	32	244000	19558	10	100000000	50	192
4	r4.2xlarge	32	244000	24268	5	250000000	50	368
4	r4.2xlarge	32	244000	29081	5	300000000	25	324
4	r4.2xlarge	32	244000	29081	5	300000000	50	434
4	r4.2xlarge	32	244000	29081	5	300000000	100	432
4	r4.2xlarge	32	244000	29593	15	100000000	1	164
4	r4.2xlarge	32	244000	29593	15	100000000	50	244
6	r4.2xlarge	48	366000	9730	5	100000000	25	98
6	r4.2xlarge	48	366000	9730	5	100000000	50	122
6	r4.2xlarge	48	366000	14540	5	150000000	25	126
6	r4.2xlarge	48	366000	14540	5	150000000	100	158
6	r4.2xlarge	48	366000	19353	5	200000000	50	196
6	r4.2xlarge	48	366000	24268	5	250000000	50	236
6	r4.2xlarge	48	366000	24268	5	250000000	100	234
6	r4.2xlarge	48	366000	29081	5	300000000	25	210
6	r4.2xlarge	48	366000	29081	5	300000000	50	274
6	r4.2xlarge	48	366000	29081	5	300000000	100	274
6	m4.2xlarge	48	192000	19353	5	200000000	25	168
8	r4.2xlarge	64	488000	9730	5	100000000	1	64
8	r4.2xlarge	64	488000	14540	5	150000000	1	76
8	r4.2xlarge	64	488000	14540	5	150000000	25	106
8	r4.2xlarge	64	488000	14540	5	150000000	50	128
8	r4.2xlarge	64	488000	14540	5	150000000	100	130
8	r4.2xlarge	64	488000	19353	5	200000000	1	88
8	r4.2xlarge	64	488000	19353	5	200000000	50	156
8	r4.2xlarge	64	488000	19353	5	200000000	100	156
8	r4.2xlarge	64	488000	24268	5	250000000	1	100
8	r4.2xlarge	64	488000	24268	5	250000000	50	180
8	r4.2xlarge	64	488000	29081	5	300000000	25	164
8	r4.2xlarge	64	488000	29081	5	300000000	50	212
8	r4.2xlarge	64	488000	29081	5	300000000	100	210
8	r4.2xlarge	64	488000	29593	15	100000000	25	118
8	r4.2xlarge	64	488000	29593	15	100000000	50	134
8	r4.xlarge	32	244000	19353	5	200000000	25	222
10	r4.2xlarge	80	610000	9730	5	100000000	1	60
10	r4.2xlarge	80	610000	9730	5	100000000	50	98
10	r4.2xlarge	80	610000	9730	5	100000000	100	98
10	r4.2xlarge	80	610000	14540	5	150000000	1	68
10	r4.2xlarge	80	610000	14540	5	150000000	25	96
10	r4.2xlarge	80	610000	19353	5	200000000	1	80
10	r4.2xlarge	80	610000	19353	5	200000000	100	138
10	r4.2xlarge	80	610000	24268	5	250000000	25	126
10	r4.2xlarge	80	610000	24268	5	250000000	100	158
10	r4.2xlarge	80	610000	29081	5	300000000	1	98
10	r4.2xlarge	80	610000	29081	5	300000000	25	142
10	r4.2xlarge	80	610000	29593	15	100000000	50	116
10	r4.2xlarge	80	610000	29593	15	100000000	100	116
10	m4.2xlarge	80	320000	19353	5	200000000	25	118
10	r4.xlarge	40	305000	19353	5	200000000	25	180
12	r4.2xlarge	96	732000	9730	5	100000000	1	58
12	r4.2xlarge	96	732000	9730	5	100000000	25	72
12	r4.2xlarge	96	732000	14540	5	150000000	100	104
12	r4.2xlarge	96	732000	19353	5	200000000	25	100
12	r4.2xlarge	96	732000	19353	5	200000000	100	122
12	r4.2xlarge	96	732000	29593	15	100000000	25	96
12	m4.2xlarge	96	384000	19353	5	200000000	25	102
12	r4.xlarge	48	366000	19353	5	200000000	25	154
