instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
2	r4.2xlarge	16	122000	13200	5	125000000	5	974
2	r4.2xlarge	16	122000	20300	10	100000000	5	1082
2	r4.2xlarge	16	122000	21300	5	200000000	3	3284
4	r4.2xlarge	32	244000	13200	5	125000000	5	368
4	r4.2xlarge	32	244000	18600	5	175000000	7	490
4	r4.2xlarge	32	244000	20300	10	100000000	5	394
4	r4.2xlarge	32	244000	21300	5	200000000	7	574
4	r4.xlarge	16	122000	16000	5	150000000	3	1118
6	r4.2xlarge	48	366000	16000	5	150000000	5	274
8	r4.2xlarge	64	488000	20300	10	100000000	5	192
10	r4.2xlarge	80	610000	13200	5	125000000	5	178
10	r4.2xlarge	80	610000	18600	5	175000000	7	204
10	r4.2xlarge	80	610000	20300	10	100000000	3	176
10	r4.2xlarge	80	610000	21300	5	200000000	7	236
12	r4.2xlarge	96	732000	16000	5	150000000	7	174
