instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
4	r4.2xlarge	32	244000	131	1000000	10000000	0.0005	186
4	r4.2xlarge	32	244000	291	3000000	20000000	0.001	428
4	r4.2xlarge	32	244000	436	3000000	30000000	0.001	538
6	m4.2xlarge	48	192000	284	2000000	20000000	0.001	310
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	264
6	r4.2xlarge	48	366000	263	1000000	20000000	0.001	220
6	r4.2xlarge	48	366000	394	1000000	30000000	0.001	268
6	r4.2xlarge	48	366000	426	2000000	30000000	0.001	392
8	r4.2xlarge	64	488000	145	3000000	10000000	0.0005	296
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	326
10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	180
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	264
10	r4.2xlarge	80	610000	291	3000000	20000000	0.001	404
10	r4.2xlarge	80	610000	436	3000000	30000000	0.001	496
12	r4.2xlarge	96	732000	426	2000000	30000000	0.001	402
