instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	c4.2xlarge	16	30000	9630	100	100000000	368
2	c4.2xlarge	16	30000	11556	100	120000000	434
2	c4.2xlarge	16	30000	11556	100	120000000	436
2	c4.2xlarge	16	30000	11556	100	120000000	444
2	c4.2xlarge	16	30000	11556	100	120000000	462
2	c4.2xlarge	16	30000	13482	100	140000000	492
2	c4.2xlarge	16	30000	13482	100	140000000	494
2	c4.2xlarge	16	30000	13482	100	140000000	496
2	c4.2xlarge	16	30000	13482	100	140000000	500
2	c4.2xlarge	16	30000	13482	100	140000000	512
2	c4.2xlarge	16	30000	15408	100	160000000	578
2	c4.2xlarge	16	30000	15408	100	160000000	590
2	c4.2xlarge	16	30000	15408	100	160000000	600
2	c4.2xlarge	16	30000	15408	100	160000000	608
2	m4.2xlarge	16	64000	9630	100	100000000	386
2	m4.2xlarge	16	64000	11556	100	120000000	454
2	m4.2xlarge	16	64000	11556	100	120000000	456
2	m4.2xlarge	16	64000	11556	100	120000000	460
2	m4.2xlarge	16	64000	11556	100	120000000	466
2	m4.2xlarge	16	64000	13482	100	140000000	536
2	m4.2xlarge	16	64000	13482	100	140000000	538
2	m4.2xlarge	16	64000	13482	100	140000000	540
2	m4.2xlarge	16	64000	13482	100	140000000	542
2	m4.2xlarge	16	64000	13482	100	140000000	550
2	m4.2xlarge	16	64000	15408	100	160000000	628
2	m4.2xlarge	16	64000	15408	100	160000000	632
2	m4.2xlarge	16	64000	15408	100	160000000	634
2	m4.2xlarge	16	64000	15408	100	160000000	638
2	m4.2xlarge	16	64000	15408	100	160000000	642
2	r4.2xlarge	16	122000	9630	100	100000000	222
2	r4.2xlarge	16	122000	11556	100	120000000	256
2	r4.2xlarge	16	122000	11556	100	120000000	258
2	r4.2xlarge	16	122000	13482	100	140000000	284
2	r4.2xlarge	16	122000	13482	100	140000000	288
2	r4.2xlarge	16	122000	13482	100	140000000	292
2	r4.2xlarge	16	122000	13482	100	140000000	294
2	r4.2xlarge	16	122000	15408	100	160000000	320
2	r4.2xlarge	16	122000	15408	100	160000000	322
2	r4.2xlarge	16	122000	15408	100	160000000	324
