instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	19558	10	100000000	25	434
2	r4.2xlarge	16	122000	24268	5	250000000	100	3944
2	r4.2xlarge	16	122000	29081	5	300000000	25	5872
4	r4.2xlarge	32	244000	14540	5	150000000	50	234
4	r4.2xlarge	32	244000	19558	10	100000000	50	190
4	r4.xlarge	16	122000	19353	5	200000000	25	674
6	r4.2xlarge	48	366000	24268	5	250000000	50	234
6	r4.2xlarge	48	366000	29081	5	300000000	50	270
10	r4.2xlarge	80	610000	14540	5	150000000	25	94
10	r4.2xlarge	80	610000	19353	5	200000000	50	136
10	r4.2xlarge	80	610000	19558	10	100000000	50	98
10	r4.2xlarge	80	610000	24268	5	250000000	25	124
10	r4.2xlarge	80	610000	29081	5	300000000	25	142
10	r4.xlarge	40	305000	19353	5	200000000	25	180
12	r4.2xlarge	96	732000	19558	10	100000000	50	88
