instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	r4.2xlarge	16	122000	15408	100	160000000	322
2	r4.2xlarge	16	122000	17334	100	180000000	364
4	m4.2xlarge	32	128000	9630	100	100000000	182
6	c4.2xlarge	48	90000	13482	100	140000000	218
6	m4.2xlarge	48	192000	9530	1000	10000000	166
8	c4.2xlarge	64	120000	11556	100	120000000	170
8	c4.2xlarge	64	120000	19260	100	200000000	262
8	m4.2xlarge	64	256000	13482	100	140000000	206
8	r4.2xlarge	64	488000	17334	100	180000000	164
10	m4.2xlarge	80	320000	11556	100	120000000	168
10	r4.2xlarge	80	610000	9630	100	100000000	98
10	r4.2xlarge	80	610000	11556	100	120000000	108
10	r4.2xlarge	80	610000	13482	100	140000000	118
12	m4.2xlarge	96	384000	15408	100	160000000	206
12	m4.2xlarge	96	384000	19260	100	200000000	256
