instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
2	m4.2xlarge	16	64000	8000	5	150000000	3	1156
2	r4.2xlarge	16	122000	10500	5	100000000	3	608
2	r4.2xlarge	16	122000	10500	5	100000000	5	774
2	r4.2xlarge	16	122000	10500	5	100000000	7	2902
2	r4.2xlarge	16	122000	10500	5	100000000	7	3152
2	r4.2xlarge	16	122000	10500	5	100000000	9	1196
2	r4.2xlarge	16	122000	10500	5	100000000	9	2680
2	r4.2xlarge	16	122000	13200	5	125000000	3	798
2	r4.2xlarge	16	122000	13200	5	125000000	5	964
2	r4.2xlarge	16	122000	13200	5	125000000	9	1132
2	r4.2xlarge	16	122000	13200	5	125000000	9	2718
2	r4.2xlarge	16	122000	16000	5	150000000	7	857
2	r4.2xlarge	16	122000	16000	5	150000000	9	1126
2	r4.2xlarge	16	122000	18600	5	175000000	3	1752
2	r4.2xlarge	16	122000	18600	5	175000000	5	2686
2	r4.2xlarge	16	122000	18600	5	175000000	5	4390
2	r4.2xlarge	16	122000	18600	5	175000000	7	4204
2	r4.2xlarge	16	122000	18600	5	175000000	7	4556
2	r4.2xlarge	16	122000	18600	5	175000000	9	816
2	r4.2xlarge	16	122000	20300	10	100000000	3	1052
2	r4.2xlarge	16	122000	20300	10	100000000	7	1246
2	r4.2xlarge	16	122000	21300	5	200000000	3	3118
2	r4.2xlarge	16	122000	21300	5	200000000	3	3240
2	r4.2xlarge	16	122000	21300	5	200000000	5	4490
2	r4.2xlarge	16	122000	21300	5	200000000	7	2900
2	r4.2xlarge	16	122000	21300	5	200000000	7	4258
2	r4.2xlarge	16	122000	21300	5	200000000	9	2758
2	r4.2xlarge	16	122000	21300	5	200000000	9	4028
2	r4.2xlarge	16	122000	30500	15	100000000	3	1716
2	r4.2xlarge	16	122000	30500	15	100000000	5	2686
2	r4.2xlarge	16	122000	30500	15	100000000	9	1020
2	r4.xlarge	8	61000	16000	5	150000000	3	3916
4	m4.2xlarge	32	128000	16000	5	150000000	3	446
4	m4.2xlarge	32	128000	16000	5	150000000	3	568
4	r4.2xlarge	32	244000	10500	5	100000000	7	298
4	r4.2xlarge	32	244000	13200	5	125000000	5	354
4	r4.2xlarge	32	244000	16000	5	150000000	7	440
4	r4.2xlarge	32	244000	18600	5	175000000	3	388
4	r4.2xlarge	32	244000	18600	5	175000000	7	496
4	r4.2xlarge	32	244000	20300	10	100000000	5	394
4	r4.2xlarge	32	244000	21300	5	200000000	3	484
4	r4.2xlarge	32	244000	21300	5	200000000	7	584
4	r4.2xlarge	32	244000	30500	15	100000000	5	498
6	m4.2xlarge	48	192000	16000	5	150000000	3	240
6	r4.2xlarge	48	366000	10500	5	100000000	3	166
6	r4.2xlarge	48	366000	10500	5	100000000	7	214
6	r4.2xlarge	48	366000	13200	5	125000000	5	242
6	r4.2xlarge	48	366000	16000	5	150000000	7	286
6	r4.2xlarge	48	366000	18600	5	175000000	5	300
6	r4.2xlarge	48	366000	20300	10	100000000	5	258
6	r4.2xlarge	48	366000	21300	5	200000000	5	360
6	r4.2xlarge	48	366000	30500	15	100000000	5	310
6	r4.xlarge	24	183000	16000	5	150000000	3	478
8	m4.2xlarge	64	256000	16000	5	150000000	3	196
8	r4.2xlarge	64	488000	10500	5	100000000	5	168
8	r4.2xlarge	64	488000	13200	5	125000000	5	180
8	r4.2xlarge	64	488000	16000	5	150000000	5	218
8	r4.2xlarge	64	488000	18600	5	175000000	5	238
8	r4.2xlarge	64	488000	20300	10	100000000	5	192
8	r4.2xlarge	64	488000	21300	5	200000000	5	266
8	r4.2xlarge	64	488000	30500	15	100000000	5	242
8	r4.xlarge	32	244000	16000	5	150000000	3	346
10	m4.2xlarge	80	320000	16000	5	150000000	3	154
10	r4.2xlarge	80	610000	10500	5	100000000	5	148
10	r4.2xlarge	80	610000	13200	5	125000000	5	174
10	r4.2xlarge	80	610000	16000	5	150000000	5	176
10	r4.2xlarge	80	610000	18600	5	175000000	5	196
10	r4.2xlarge	80	610000	20300	10	100000000	5	180
10	r4.2xlarge	80	610000	21300	5	200000000	5	226
10	r4.2xlarge	80	610000	30500	15	100000000	5	204
10	r4.xlarge	40	305000	16000	5	150000000	3	250
12	m4.2xlarge	96	384000	16000	5	150000000	3	148
12	r4.2xlarge	96	732000	10500	5	100000000	5	112
12	r4.2xlarge	96	732000	13200	5	125000000	5	154
12	r4.2xlarge	96	732000	16000	5	150000000	5	170
12	r4.2xlarge	96	732000	18600	5	175000000	5	174
12	r4.2xlarge	96	732000	20300	10	100000000	7	148
12	r4.2xlarge	96	732000	21300	5	200000000	5	186
12	r4.2xlarge	96	732000	30500	15	100000000	5	168
12	r4.xlarge	48	366000	16000	5	150000000	3	230
