instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	19558	10	100000000	1	314
2	r4.2xlarge	16	122000	29081	5	300000000	25	5792
4	r4.2xlarge	32	244000	14540	5	150000000	50	238
4	r4.2xlarge	32	244000	24268	5	250000000	50	372
4	r4.xlarge	16	122000	19353	5	200000000	25	696
6	r4.2xlarge	48	366000	19353	5	200000000	50	194
8	r4.2xlarge	64	488000	19558	10	100000000	50	112
8	r4.2xlarge	64	488000	29081	5	300000000	25	166
10	r4.2xlarge	80	610000	14540	5	150000000	50	116
10	r4.2xlarge	80	610000	19353	5	200000000	50	136
10	r4.2xlarge	80	610000	19558	10	100000000	50	98
10	r4.2xlarge	80	610000	24268	5	250000000	25	128
