instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
4	m4.2xlarge	32	128000	17334	100	180000000	344
6	c4.2xlarge	48	90000	9530	1000	10000000	156
6	c4.2xlarge	48	90000	11556	100	120000000	188
6	c4.2xlarge	48	90000	13482	100	140000000	218
8	c4.2xlarge	64	120000	9630	100	100000000	144
8	c4.2xlarge	64	120000	15408	100	160000000	228
8	c4.2xlarge	64	120000	19260	100	200000000	266
8	r4.2xlarge	64	488000	17334	100	180000000	208
10	m4.2xlarge	80	320000	9530	1000	10000000	148
10	m4.2xlarge	80	320000	9630	100	100000000	144
10	m4.2xlarge	80	320000	11556	100	120000000	168
10	m4.2xlarge	80	320000	13482	100	140000000	192
10	m4.2xlarge	80	320000	15408	100	160000000	216
10	m4.2xlarge	80	320000	19260	100	200000000	268
10	r4.2xlarge	80	610000	9530	1000	10000000	94
10	r4.2xlarge	80	610000	9630	100	100000000	96
10	r4.2xlarge	80	610000	11556	100	120000000	108
10	r4.2xlarge	80	610000	13482	100	140000000	118
10	r4.2xlarge	80	610000	15408	100	160000000	130
10	r4.2xlarge	80	610000	19260	100	200000000	156
